"id","code","name"
"__export__.res_partner_id_category_1","D","Documento Nacional de Identidad"
"__export__.res_partner_id_category_2","P","Pasaporte"
"__export__.res_partner_id_category_3","C","Permiso de Conducir ESP"
"__export__.res_partner_id_category_4","N","Permiso de Residencia ESP"
"__export__.res_partner_id_category_5","I","Carta/Documento Identidad"
"__export__.res_partner_id_category_6","X","Permiso Res. otro Estado Europeo"
